id,phase,priority_20,cluster,primary_keyword,proposed_url,decision,final_url,decision_reason,unique_angle,source_notes,cta_level,status
23,phase3,False,guide,森町 山名神社,/guide/yamana-jinja/,EXPAND_EXISTING,/shrine/shrines/s4410003/,山名神社DBと祇園祭舞ブログが既存,建物・祭神・お舞・飯田地区の順に読む,神社、文化財資料、保存会、現地確認,L0,ready
24,phase3,False,guide,森町 賀茂神社,/guide/kamo-jinja/,HOLD,/guide/kamo-jinja/,既存DBに明確な同名正規ページを確認できず、同定誤りの危険,所在地・祭神・飯田荘との関係を典拠付きで確定,宗教法人・神社側、町史、現地銘板・位置確認,L0,blocked_on_fieldwork
25,phase3,False,guide,森町 蓮華寺,/guide/rengeji/,EXPAND_EXISTING,/temple/temples/t02/,寺院DBに正規ページあり,萩の季節、伽藍、参拝動線を寺院情報と統合,寺院、町文化財・観光協会、現地撮影許可,L0,ready
26,phase1,True,food,森町 甘々娘,/food/kankanmusume/,CREATE,/food/kankanmusume/,既存主要URLなし。No.27〜31の親となる,品種の事実、旬、購入、持帰りまで一次情報で横断,生産者・JA等、町、現地取材・商品写真,L1,ready
27,phase1,True,food,甘々娘 時期,/food/kankanmusume-season/,MERGE,/food/kankanmusume/,旬はNo.26の主要回答で、単独化すると反復,年ごとの差と販売情報の確認方法を章で明示,生産者の当年発表、気象・収穫状況,L0,ready
28,phase1,True,food,甘々娘 直売所,/food/kankanmusume-farm-stands/,HOLD,/food/kankanmusume-farm-stands/,No.26・45と競合するが、当日購入意図は独立,販売者ごとの公開許諾、販売方法、並び方、売切れ対応,各生産者の掲載許諾・当年販売、現地動線,L1,blocked_on_fieldwork
29,phase3,False,food,甘々娘 保存,/food/kankanmusume-storage/,MERGE,/food/kankanmusume/,保存・ゆで方はNo.26で購入直後に必要,生産者推奨と食品安全情報を分けた持帰り章,生産者、農水省等の食品保存資料,L0,ready
30,phase3,False,food,甘々娘 レシピ,/food/kankanmusume-recipes/,HOLD,/food/kankanmusume-recipes/,No.29の一般調理と重複。独自レシピなしでは全国共通,試作量、歩留まり、写真、保存後の差を実測,生産者コメント、実調理・撮影、食品安全,L0,blocked_on_fieldwork
31,phase3,False,food,森町 朝採り とうもろこし,/food/morimachi-corn-guide/,MERGE,/food/kankanmusume/,甘々娘以外の品種資料が揃わなければNo.26と同義,品種比較が取材で成立した場合のみ独立再審査,複数生産者・JA、品種表示、販売現地,L1,ready
32,phase1,True,food,森町 お茶,/food/morimachi-tea/,EXPAND_EXISTING,/blog/20260716-mori-tea-history/,森の茶の歴史記事が既に長文・一次資料付き,歴史を残し、産地、味の選び方、買い方、茶園の暮らしへ拡張,町・県茶業資料、生産者、現地茶園・製茶確認,L1,ready
33,phase3,False,food,森町茶 特徴,/food/morimachi-tea-taste/,MERGE,/blog/20260716-mori-tea-history/,味・香りだけ分けるとNo.32を反復し主観化する,品種・製法・淹れ条件ごとの差をNo.32内で示す,生産者・茶業団体、比較試飲記録,L0,ready
34,phase3,False,food,森町 お茶屋,/food/tea-shops/,HOLD,/food/tea-shops/,No.32・43・45と重複、店舗情報は変動,目的別選択を、全掲載先の確認・許諾付きで作る,各店公式・取材・撮影許諾、営業現況,L1,blocked_on_fieldwork
35,phase3,False,food,森町 茶畑,/food/tea-fields/,EXPAND_EXISTING,/blog/20260806-tea-garden-conditions/,茶園継承ブログに土地・管理の深い既存内容,景観消費にせず、農地・作業・私有地マナーを接続,生産者、町農業資料、現地撮影許可,L1,ready
36,phase3,False,food,森町 茶摘み 体験,/food/tea-experience/,HOLD,/food/tea-experience/,アクティ森等の体験候補と競合、開催は季節変動,実施者ごとの対象年齢、服装、予約、雨天対応,主催者公式・当年予約、現地体験・撮影許諾,L0,blocked_on_fieldwork
37,phase3,False,food,森町 和菓子,/food/wagashi/,HOLD,/food/wagashi/,No.19・40・42・43と店舗情報が競合,複数店を同条件で取材し、菓子文化と購入実務を分ける,店舗許諾、商品・価格確認、町史資料,L0,blocked_on_fieldwork
38,phase3,False,food,森町 次郎柿,/food/jiro-persimmon/,EXPAND_EXISTING,/blog/20260805-cultural-assets/,次郎柿原木を扱う文化財ブログが既存,原木史を核に、旬・選び方は生産者取材後追記,町文化財、生産者・JA、原木現地確認,L1,ready
39,phase3,False,food,森町 しいたけ,/food/shiitake/,HOLD,/food/shiitake/,森町固有の既存資料が確認できず一般食材記事化の恐れ,原木・菌床、産地、旬を生産者単位で裏付ける,生産者、県・町林業資料、現地取材,L1,blocked_on_fieldwork
40,phase3,False,food,森町 わらび餅,/food/warabimochi/,MERGE,/guide/kotomachi-yokocho/,単品記事はNo.19・37・42と競合し店舗依存,施設取材ができた場合に商品章として掲載,販売店公式・取材・撮影許諾,L0,ready
41,phase1,True,food,森町 ランチ,/food/lunch/,HOLD,/food/lunch/,No.19・42と店舗重複。古い営業時間は有害,地区・予約・子連れ・営業日を全店確認した比較台帳,各店の掲載許諾、営業日・価格、現地利用,L1,blocked_on_fieldwork
42,phase3,False,food,森町 カフェ,/food/cafes/,MERGE,/food/lunch/,ランチ店との重複が大きく、母数確認前に別DB化しない,休憩利用の時間帯・席・駐車をNo.41のフィルタにする,No.41と同じ,L0,ready
43,phase3,False,food,森町 お土産,/food/souvenirs/,CREATE,/food/souvenirs/,茶・菓子・農産物候補の横断需要は独立,保存性、予算、購入場所、製造者を用途別に選べる,製造者・販売者許諾、商品表示・価格、現地購入,L0,ready
44,phase3,False,food,森町 ふるさと納税,/food/furusato-tax/,EXPAND_EXISTING,/life/work-life/tax/,税手続き記事と接点があり、返礼品一覧は公式に任せる,制度上の注意と森町公式申込先を簡潔に追加,総務省、森町当年度公式、指定サイト,L1,ready
45,phase3,False,food,森町 直売所,/food/farmers-markets/,HOLD,/food/farmers-markets/,No.28・34・38・41と販売場所が重複,旬、支払、開店、売切れを全掲載先で確認した実用地図,各直売所・生産者許諾、現地営業確認,L1,blocked_on_fieldwork
46,phase1,True,history,森町 遠州の小京都,/history/little-kyoto/,CREATE,/history/little-kyoto/,町並み・祭り・茶・文化財の既存記事は断片的,呼称の出典を示し、水・街道・建築・祭礼を歩行ルートで検証,町史・観光協会、全国京都会議等、現地町並み,L1,ready
47,phase3,False,history,森町 森の石松,/history/mori-no-ishimatsu/,CREATE,/history/mori-no-ishimatsu/,既存主要URLなし,史料上の人物像と講談・浪曲上の伝承を明確に分ける,町史、資料館、著作権確認済み史料,L0,ready
48,phase1,True,history,森町 祭り,/history/festivals/,EXPAND_EXISTING,/shrine/festivals/,祭礼DB、祭りブログ、舞楽ブログが複数存在,日付一覧から、地区差・担い手・観覧マナーへ正規ハブを拡張,神社・祭典本部・町、各年公式発表,L1,ready
49,phase3,False,history,森のまつり 屋台,/history/mori-festival-floats/,EXPAND_EXISTING,/blog/20260808-yatai-storage-ownership/,屋台保管・所有の長文ブログとNo.48が既存,屋台の見方を建物・所有・保管・町内運営までつなぐ,祭典本部・町内、現地取材・撮影許可,L0,ready
50,phase3,False,history,森町 歴史民俗資料館,/history/history-museum/,HOLD,/history/history-museum/,文化施設記事はあるが施設固有情報なし,展示内容、撮影可否、バリア、開館実態を現地確認,施設・町公式、現地取材・撮影許可,L0,blocked_on_fieldwork
51,phase3,False,history,森町 森山焼,/history/moriyama-yaki/,HOLD,/history/moriyama-yaki/,No.43・66と工芸・体験で重複,窯ごとの違いを作り手の言葉と作品写真で示す,窯元取材・許諾、町史・観光協会,L0,blocked_on_fieldwork
52,phase3,False,history,森町 吉川和紙,/history/yoshikawa-washi/,HOLD,/history/yoshikawa-washi/,No.66・168候補と体験で競合,現存する担い手・工程・体験可否を確認した記録,保存団体・職人、町史、現地取材,L0,blocked_on_fieldwork
53,phase3,False,history,森町 城下 町並み,/history/joka-streetscape/,HOLD,/history/joka-streetscape/,No.46・60と町並み説明が重複,建物を無断で由緒付けず、公開道路から歩ける現況ルート,町史・文化財台帳、所有者配慮、現地歩行,L1,blocked_on_fieldwork
54,phase3,False,history,森町 秋葉街道,/history/akiba-kaido/,CREATE,/history/akiba-kaido/,No.55・61と接点はあるが街道全体の意図は独立,古道と現道を混同せず、史料・地形・安全な歩行区間を重ねる,町史、国土地理院、道路管理者、現地踏査,L1,ready
55,phase3,False,history,森町 戦国夢街道,/history/sengoku-yumekaido/,HOLD,/history/sengoku-yumekaido/,No.54・61と経路重複、伝承の断定リスク,史実・伝承・観光名称を三層に分け、歩行安全を確認,町史・案内整備主体、現地踏査,L0,blocked_on_fieldwork
56,phase3,False,history,森町 天方城跡,/history/amagata-castle/,HOLD,/history/amagata-castle/,No.62と地区史が重なる,遺構の見方、登路、私有地・危険箇所を現況確認,文化財資料、土地管理者、現地踏査,L0,blocked_on_fieldwork
57,phase3,False,history,森町 飯田城跡,/history/iida-castle/,HOLD,/history/iida-castle/,No.64と地区史が重なる,所在地・遺構の確度を示し、見学可能範囲を限定,町史・文化財資料、管理者、現地確認,L0,blocked_on_fieldwork
58,phase3,False,history,森町 地名 由来,/history/place-names/,CREATE,/history/place-names/,六地区ブログは暮らし比較で語源記事ではない,典拠のある由来と不明・諸説を地区ごとに表示,町史・地名辞典・公文書,L1,ready
59,phase3,False,history,森町 一宮 歴史,/history/ichinomiya-history/,MERGE,/history/place-names/,No.58とNo.11、地区生活ページに分散し独立は反復,一宮章から神社DB・生活ページへ分岐,町史、神社史、地区資料,L1,ready
60,phase3,False,history,森町 森地区 歴史,/history/mori-district-history/,MERGE,/history/place-names/,No.46・48・53・58との重複が大きい,行政中心・町並み・祭りの変化を地区章で整理,町史・旧地図・統計,L1,ready
61,phase3,False,history,森町 三倉 歴史,/history/mikura-history/,EXPAND_EXISTING,/blog/20260717-mikura-amagata-travel/,三倉・天方の移動史を含む長文ブログがある,秋葉街道と山間生活の変化を交通実務へつなぐ,町史、交通資料、地区取材,L1,ready
62,phase3,False,history,森町 天方 歴史,/history/amagata-history/,MERGE,/blog/20260717-mikura-amagata-travel/,既存記事で三倉と対で扱い、分離すると共通説明が多い,天方城・集落の章を追加して比較軸を保つ,町史、文化財、地区取材,L1,ready
63,phase3,False,history,森町 園田 歴史,/history/sonoda-history/,EXPAND_EXISTING,/life/living-soon/areas/sonoda/,園田生活ページと茶園記事が既存,歴史を現在の茶園・道路・土地確認につなぐ,町史、農業資料、地区取材,L1,ready
64,phase3,False,history,森町 飯田 歴史,/history/iida-history/,EXPAND_EXISTING,/blog/20260718-yamana-dance/,山名神社祇園祭の歴史記事が既存,神社だけでなく集落・街道・現在の生活へ範囲拡張,町史、神社・保存会、地区資料,L1,ready
65,phase3,False,history,森町 文化財,/history/cultural-properties/,EXPAND_EXISTING,/blog/20260805-cultural-assets/,代表文化財を横断する長文記事が既存,指定区分・公開可否・保存と暮らしを一覧化,国・県・町文化財台帳、所有者公開情報,L0,ready
66,phase4,False,nature,森町 アクティ森,/nature/acty-mori/,HOLD,/nature/acty-mori/,文化施設・体験・食事候補と重複,対象年齢、予約、所要時間、雨天、食事を実利用で確認,施設公式、各体験運営、現地取材・撮影,L0,blocked_on_fieldwork
67,phase4,False,nature,森町 カワセミの里,/nature/kawasemi-camp/,HOLD,/nature/kawasemi-camp/,No.73のキャンプ総合と重なる,サイト設備、搬入、通信、夜間、予約を現況で示す,施設公式、管理者取材、宿泊・現地写真,L0,blocked_on_fieldwork
68,phase4,False,nature,森町 東海自然歩道,/nature/tokai-nature-trail/,HOLD,/nature/tokai-nature-trail/,No.69とコース説明が競合,通行可能区間、標識、離脱点をGPS・現地で確認,県・町、通行規制、現地踏査,L0,blocked_on_fieldwork
69,phase4,False,nature,森町 ハイキング,/nature/hiking/,MERGE,/nature/tokai-nature-trail/,安全な複数コースを確認できるまで総合ページを別建てしない,難易度と撤退判断をNo.68内で比較,道路・登山道管理者、現地踏査,L0,ready
70,phase4,False,nature,森町 太田川,/nature/ota-river/,CREATE,/nature/ota-river/,河川情報記事と花火ブログは防災・イベント断面のみ,流域、治水、利用、暮らしを公的地図で横断,県河川資料、町防災、国土地理院、現地観察,L1,ready
71,phase4,False,nature,森町 太田川親水公園,/nature/ota-river-park/,HOLD,/nature/ota-river-park/,No.70・79・86と重複,設備、駐車、増水時立入、日陰を現況で確認,管理者、河川情報、現地設備調査,L0,blocked_on_fieldwork
72,phase4,False,nature,森町 川遊び,/nature/river-play/,HOLD,/nature/river-play/,No.67・70・71と場所が重なり、安全上の高リスク,遊泳を安易に推奨せず、水位・天候・退避判断を示す,河川管理者、消防・県水位、現地危険確認,L0,blocked_on_fieldwork
73,phase4,False,nature,森町 キャンプ,/nature/camping/,MERGE,/nature/kawasemi-camp/,確認できる主要施設がNo.67なら総合記事は重複,周辺買出し・季節装備を施設ページの章にする,施設・販売店、現地宿泊確認,L0,ready
74,phase4,False,nature,森町 サイクリング,/nature/cycling/,HOLD,/nature/cycling/,No.5・35・75と経路競合,交通量、勾配、路面、退避、輪行を実走で記録,道路管理者、天浜線輪行条件、GPS実走,L0,blocked_on_fieldwork
75,phase4,False,nature,森町 レンタサイクル,/nature/rental-cycle/,HOLD,/nature/rental-cycle/,No.74の一部で、貸出事業の継続確認が必須,台数、予約、返却、保険、故障時連絡を確認,貸出主体公式、現地利用確認,L0,blocked_on_fieldwork
76,phase4,False,nature,森町 野鳥,/nature/birdwatching/,HOLD,/nature/birdwatching/,No.70・77と自然場所が共通、種の誤同定リスク,季節・環境別に専門家確認済みの観察マナーを示す,県自然資料、専門家・観察会、現地記録,L0,blocked_on_fieldwork
77,phase4,False,nature,森町 星空,/nature/stargazing/,HOLD,/nature/stargazing/,一般論になりやすく、私有地・夜間安全の問題,合法的に滞在できる場所、照明、通信、退避を夜間確認,土地管理者、気象庁、現地夜間調査,L0,blocked_on_fieldwork
78,phase4,False,nature,森町 花 見頃,/nature/flowers-calendar/,CREATE,/nature/flowers-calendar/,No.16・18・82・87を束ねる親がない,固定の「見頃」断定を避け、確認先と定点履歴を月別表示,施設・観光協会当年情報、現地定点写真,L0,ready
79,phase4,False,nature,森町 公園,/nature/parks/,EXPAND_EXISTING,/life/play-out/find-parks/,公園選びの既存ページがある,遊具だけでなくトイレ、日陰、駐車、防災を現地台帳化,町公園管理、現地設備確認,L1,ready
80,phase4,False,nature,森町 ゴルフ,/nature/golf/,HOLD,/nature/golf/,森町固有施設の所在・掲載価値を未確認,施設が町内にある場合のみアクセスと周辺利用を取材,各施設公式・掲載許諾、所在地確認,L1,blocked_on_fieldwork
81,phase1,True,events,森町 イベント,/events/annual-calendar/,CREATE,/events/annual-calendar/,/shrine/festivals/ は祭礼のみで農産物・花・催しを横断しない,確定・例年・未発表を分け、月別に公式確認先を持つ,町、観光協会、各主催者の当年発表,L1,ready
82,phase4,False,events,森町 桜,/events/cherry-blossoms/,MERGE,/nature/flowers-calendar/,No.78の春章で意図を満たせる,場所ごとの開花差・駐車注意を定点情報で追加,管理者、当年開花、現地写真,L0,ready
83,phase4,False,events,森町 ゴールデンウィーク,/events/golden-week/,MERGE,/events/annual-calendar/,年次カレンダーとモデルコースを繋げれば独立不要,当年の営業・混雑リンク集を期間限定更新,各主催者当年発表、交通案内,L0,ready
84,phase4,False,events,森町 梅雨 観光,/events/rainy-season/,MERGE,/guide/rainy-day/,No.7・18・72の組合せで検索意図が同じ,花と増水リスクを雨量別にNo.7へ追加,当年開花、河川・気象、施設運営,L0,ready
85,phase4,False,events,森町 夏祭り,/events/summer-festivals/,MERGE,/shrine/festivals/,No.48・81に包含される,夏の祭礼だけを月別フィルタとして提供,主催者当年発表,L0,ready
86,phase4,False,events,森町 花火大会,/events/fireworks/,EXPAND_EXISTING,/blog/20260808-hanabi-river-area/,会場と河川利用を扱う長文ブログが既存,当年案内への差替欄、退出動線、河川安全を追加,主催者、警察・交通、当年会場案内,L0,ready
87,phase4,False,events,森町 紅葉,/events/autumn-leaves/,MERGE,/guide/okuni-jinja-autumn-leaves/,主要需要がNo.16と重なり、周辺情報は同ページで足りる,小國神社以外を確認できた場合のみ比較章を追加,各管理者、当年現地定点写真,L0,ready
88,phase4,False,events,森のまつり 日程,/events/mori-festival/,MERGE,/shrine/festivals/,No.48の正規祭礼ハブで年次日程を更新すべき,公式発表日・交通規制・観覧心得の更新欄,祭典本部、町、警察・交通,L0,ready
89,phase4,False,events,森町 初詣,/events/new-year-visits/,MERGE,/guide/okuni-jinja-hatsumode/,No.15が主要意図。寺社羅列は薄くなる,小國神社以外は公式発表確認済みの代替先として掲載,各寺社、交通の当年発表,L0,ready
90,phase4,False,events,森町 節分,/events/setsubun/,HOLD,/events/setsubun/,No.81・89と寺社イベントで重複、開催有無が年次変動,実施寺社を主催者確認できた年だけ公開,各寺社の当年発表、現地取材,L0,blocked_on_fieldwork
91,phase4,False,events,森町 とうもろこし 時期,/events/corn-season/,MERGE,/food/kankanmusume/,No.26・27と完全に近い,甘々娘以外の品種差は生産者確認後に同ページへ,生産者の当年収穫・販売発表,L1,ready
92,phase4,False,events,森町 新茶 時期,/events/new-tea-season/,MERGE,/blog/20260716-mori-tea-history/,No.32・33・35と近接し季節差し替え化する,当年新茶の確認方法を常設ページに更新,生産者・茶業団体の当年発表,L1,ready
93,phase4,False,events,森町 Kトラ市,/events/kei-truck-market/,HOLD,/events/kei-truck-market/,No.45・81と重複、開催・出店は都度変動,当日動線、出店、支払、交通を主催者確認,主催者当年発表、現地取材・撮影許可,L1,blocked_on_fieldwork
94,phase4,False,events,森町 夏休み 子ども,/events/summer-vacation-family/,MERGE,/guide/family-trip/,No.8・66・72の季節組合せで、独立すると反復,暑熱・川の安全・予約を夏章に集約,施設当年情報、気象・河川、現地設備,L1,ready
95,phase4,False,events,森町 冬 観光,/events/winter/,MERGE,/guide/one-day-course/,No.15・37・89の寄せ集めになりやすい,冬季の道路・日没・服装をモデルコースの季節章へ,道路・気象、施設冬季営業,L0,ready
96,phase1,True,life,森町 転入届,/life/moving-in/,EXPAND_EXISTING,/life/start-living/moved-in/,同URLが転入→番号→水道→ごみを回答。/blog/20260706-moving-in-order/ と転入質問も存在,期限順ではなく「来庁前・窓口当日・帰宅後」の実行表、世帯別分岐、学校・国保・犬まで一枚化,"R1,R2",L2,ready
97,phase2,False,life,森町 転出届,/life/moving-out/,EXPAND_EXISTING,/life/moving-out/moving-away/,move-out-notice/ と質問が届出を短答。広い転出全体は既存ハブが最適,14日前から退去後まで、水道・学校・犬・家の残置物を並列管理,"R1,R5",L2,ready
98,phase2,False,life,森町 住民票,/life/resident-certificate/,MERGE,/life/start-living/resident-registration/,急ぎの住民票、コンビニ交付、窓口を既に直接回答,取得目的別の証明選択、本人・同一世帯・代理の分岐,R2,L1,ready
99,phase2,False,life,森町 印鑑証明,/life/seal-certificate/,MERGE,/life/start-living/certificates/,住民票・戸籍・印鑑証明の選び方が同一意図を包含,登録前/登録済み、本人/代理、カード紛失の分岐を同ページ内で増補,R2,L1,ready
100,phase2,False,life,森町 マイナンバーカード,/life/mynumber-card/,EXPAND_EXISTING,/life/start-living/mynumber/,申請から受取までの既存正本と質問がある,申請・受取・住所変更・更新・暗証番号・紛失を場面別に整理,R2,L1,ready
101,phase2,False,life,森町 戸籍,/life/family-register/,MERGE,/life/start-living/certificates/,戸籍証明の取得方法は証明書ガイドと同じ窓口意図,相続・婚姻・旅券で必要な証明の違い、広域交付と郵送,"R2,R3",L2,ready
102,phase2,False,life,森町 婚姻届,/life/marriage-divorce/,EXPAND_EXISTING,/life/family-grow/marriage/,婚姻届と結婚後手続きを既に回答,提出日から逆算し、氏・住所・保険・住まいを別タスク化,"R3,R1",L1,ready
103,phase2,False,life,森町 出生届,/life/birth-registration/,EXPAND_EXISTING,/life/family-grow/childbirth/,出生届、児童手当、新生児通知が既存にまとまる,出生直後14日間の家族分担表、医療費・保険・手当への連結,"R3,C1",L1,ready
104,phase2,False,life,森町 死亡 手続き,/life/after-death-procedures/,EXPAND_EXISTING,/life/end-of-life/bereavement/,期限順の既存正本。おくやみ質問・介護ブログとも接続済み,死亡直後/葬儀後/相続の三段階、町手続きと民間契約を分離,"R3,R6",L2,ready
105,phase2,False,life,森町 ごみ 出し方,/life/garbage-guide/,EXPAND_EXISTING,/life/start-living/how-to-garbage/,年度カレンダー、分別、持込みを既に回答,地区・曜日の調べ方、迷いやすい品目、持込み前確認を実物例で,R4,L1,ready
106,phase2,False,life,森町 ごみ カレンダー,/life/garbage-calendar/,MERGE,/life/start-living/how-to-garbage/,同ページの主題そのもの。別URLはカニバリ,地区特定→PDFの読み方→前日準備のチェック欄を追加,R4,L1,ready
107,phase2,False,life,森町 ごみ 分別,/life/garbage-separation/,MERGE,/life/start-living/how-to-garbage/,分別表・質問が既存ガイドを補完,品名検索に頼れない例と問い合わせ先を追記,R4,L1,ready
108,phase2,False,life,森町 粗大ごみ,/life/bulky-waste/,EXPAND_EXISTING,/life/start-living/bulky-garbage-dropoff/,持込み先と流れを直接回答。転出片付けページも近接,寸法・材質で迷う物、車載、本人確認、家電四品目を分岐,R4,L2,ready
109,phase2,False,life,森町 リサイクル,/life/recycling/,MERGE,/life/start-living/how-to-garbage/,"資源回収はごみ分別の一部で独立6,000字は重複",資源物、店頭回収、家電の出口を比較表にする,R4,L1,ready
110,phase2,False,life,森町 水道 開始,/life/water-service/,EXPAND_EXISTING,/life/start-living/water-start-stop-fees/,開始・中止・料金を既に直接回答,鍵渡し日から逆算、名義・開栓・支払・漏水確認を一工程化,R5,L2,ready
111,phase2,False,life,森町 下水道 浄化槽,/life/sewer-septic-tank/,EXPAND_EXISTING,/life/start-living/water-sewer/,上下水道料金は既存。浄化槽と地区差が不足,住所別の接続確認、受益者負担、浄化槽保守、購入前現地確認,"R5,X",L2,ready
112,phase2,False,life,森町 電気 ガス,/life/utilities/,CREATE,/life/start-living/utilities/,停電ページは緊急時で意図違い。開始手続きの正本なし,住所・設備から電気/都市ガス/LPガスを見分け、契約・立会い・安全確認,"X,R1",L2,ready
113,phase2,False,life,森町 税金,/life/taxes/,EXPAND_EXISTING,/life/work-life/tax/,税目別窓口を案内する既存税ハブ,生活イベント×税目、通知書の読み方、払えない時の相談まで,R6,L2,ready
