number,priority,group,target_query,intent_phrase,proposed_url,action,final_url,matched_url,matched_title,matched_kind,match_score,score_margin,confidence,decision_reason,second_url,second_score
11,P0,空き家・実家じまい,森町 空き家 家財処分,空き家 家財処分,/akiya/guide-11/,MERGE,/life/housing/clean-parents-house/,/life/housing/clean-parents-house/,静岡県森町で親の家を片付けるときは、ごみ分別・空き家対策・空き家バンクを確認する。 | 森町ライフハック,life,59.78,0.0,high,既存URLの主要意図・本文を手動確認し「森町で親の家を片付けるときは、ごみ分別・空き家対策・空き家バンクを確認する。」へ統合。不足: description(88字),/life/housing/vacant-house/,113.64
12,P0,空き家・実家じまい,森町 遺品整理,遺品整理,/akiya/guide-12/,UPDATE,/life/housing/clean-parents-house/,/life/housing/clean-parents-house/,静岡県森町で親の家を片付けるときは、ごみ分別・空き家対策・空き家バンクを確認する。 | 森町ライフハック,life,276.0,182.44,high,既存URLの主要意図・本文を手動確認し「遺品整理」へ統合。不足: description(88字),/questions/housing-clean-parents-house/,93.56
13,P0,空き家・実家じまい,森町 空き家 草刈り,空き家 草刈り,/akiya/guide-13/,MERGE,/life/housing/vacant-house/,/life/housing/vacant-house/,静岡県森町の空き家バンク｜物件・補助金・相談先を確認 | 森町ライフハック,life,122.67,0.0,high,既存URLの主要意図・本文を手動確認し「森町 空き家」へ統合。不足: description(80字),/life/housing/vacant-house/,122.67
14,P0,空き家・実家じまい,森町 空き家 火災,空き家 火災,/akiya/guide-14/,MERGE,/life/housing/vacant-house/,/life/housing/vacant-house/,静岡県森町の空き家バンク｜物件・補助金・相談先を確認 | 森町ライフハック,life,134.75,0.0,high,既存URLの主要意図・本文を手動確認し「森町 空き家」へ統合。不足: description(80字),/life/housing/vacant-house/,134.75
15,P0,空き家・実家じまい,森町 空き家 仏壇,空き家 仏壇,/akiya/guide-15/,MERGE,/life/housing/clean-parents-house/,/life/housing/clean-parents-house/,静岡県森町で親の家を片付けるときは、ごみ分別・空き家対策・空き家バンクを確認する。 | 森町ライフハック,life,57.42,0.0,high,既存URLの主要意図・本文を手動確認し「森町で親の家を片付けるときは、ごみ分別・空き家対策・空き家バンクを確認する。」へ統合。不足: description(88字),/life/housing/vacant-house/,134.75
16,P0,空き家・実家じまい,森町 空き家 放置,空き家 放置,/akiya/guide-16/,MERGE,/life/housing/vacant-house/,/life/housing/vacant-house/,静岡県森町の空き家バンク｜物件・補助金・相談先を確認 | 森町ライフハック,life,134.75,0.0,high,既存URLの主要意図・本文を手動確認し「森町 空き家」へ統合。不足: description(80字),/life/housing/vacant-house/,134.75
17,P0,空き家・実家じまい,森町 空き家 名義変更,空き家 名義変更,/akiya/guide-17/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,29.24,0.0,high,既存URLの主要意図・本文を手動確認し「相続は、森町の固定資産税・戸籍手続きと家族で決めることを分けて進める」へ統合,/life/housing/vacant-house/,113.64
18,P0,空き家・実家じまい,森町 空き家 査定,空き家 査定,/akiya/guide-18/,MERGE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,81.5,0.0,high,既存URLの主要意図・本文を手動確認し「空き家売却」へ統合。不足: description(77字),/life/housing/vacant-house/,134.75
19,P0,空き家・実家じまい,森町 空き家 片付け,空き家 片付け,/akiya/guide-19/,MERGE,/life/housing/clean-parents-house/,/life/housing/clean-parents-house/,静岡県森町で親の家を片付けるときは、ごみ分別・空き家対策・空き家バンクを確認する。 | 森町ライフハック,life,88.5,0.0,high,既存URLの主要意図・本文を手動確認し「森町 実家 片付け」へ統合。不足: description(88字),/life/housing/vacant-house/,122.67
20,P0,空き家・実家じまい,森町 親の家 どうする,親の家 どうする,/akiya/guide-20/,MERGE,/life/end-of-life/inherited-house/,/life/end-of-life/inherited-house/,静岡県森町の親の家をどうするか｜使う・貸す・売る・解体の決め方 | 森町ライフハック,life,131.36,20.24,high,既存URLの主要意図・本文を手動確認し「どうする」へ統合,/questions/end-of-life-inherited-house/,111.12
21,P0,相続・おくやみ,森町 相続登記,相続登記,/souzoku/guide-01/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,138.18,8.0,high,既存URLの主要意図・本文を手動確認し「相続登記はいつまで」へ統合,/questions/end-of-life-inheritance/,130.18
22,P0,相続・おくやみ,森町 土地 相続,土地 相続,/souzoku/guide-02/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,122.67,0.0,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/inheritance/,122.67
23,P0,相続・おくやみ,森町 家 相続,家 相続,/souzoku/guide-03/,MERGE,/life/end-of-life/inherited-house/,/life/end-of-life/inherited-house/,静岡県森町の親の家をどうするか｜使う・貸す・売る・解体の決め方 | 森町ライフハック,life,123.5,0.0,high,既存URLの主要意図・本文を手動確認し「親の家 相続 どうする」へ統合,/life/end-of-life/inheritance/,142.5
24,P0,相続・おくやみ,森町 相続 手続き,相続 手続き,/souzoku/guide-04/,KEEP,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,276.0,0.0,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/inheritance/,276.0
25,P0,相続・おくやみ,森町 相続 必要書類,相続 必要書類,/souzoku/guide-05/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,101.0,0.0,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/inheritance/,101.0
26,P0,相続・おくやみ,森町 相続 固定資産税,相続 固定資産税,/souzoku/guide-06/,MERGE,/life/end-of-life/property-tax-inheritance/,/life/end-of-life/property-tax-inheritance/,固定資産税の相続は、静岡県森町税務課への相続人代表者指定届を先に確認する | 森町ライフハック,life,110.29,8.0,high,既存URLの主要意図・本文を手動確認し「固定資産税相続」へ統合,/questions/housing-property-tax/,139.9
27,P0,相続・おくやみ,森町 相続人 調べ方,相続人 調べ方,/souzoku/guide-07/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,78.5,0.0,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/inheritance/,78.5
28,P0,相続・おくやみ,森町 遺産分割協議,遺産分割協議,/souzoku/guide-08/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,32.67,1.53,high,既存URLの主要意図・本文を手動確認し「相続は、森町の固定資産税・戸籍手続きと家族で決めることを分けて進める」へ統合,/life/housing/,38.22
29,P0,相続・おくやみ,森町 相続 放棄,相続 放棄,/souzoku/guide-09/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,122.67,0.0,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/inheritance/,122.67
30,P0,相続・おくやみ,森町 相続 戸籍,相続 戸籍,/souzoku/guide-10/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,122.67,0.0,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/inheritance/,122.67
31,P0,相続・おくやみ,森町 家族 死亡 手続き,家族 死亡 手続き,/souzoku/guide-11/,MERGE,/life/end-of-life/bereavement/,/life/end-of-life/bereavement/,静岡県森町で家族が亡くなったら｜期限順にやることを整理する | 森町ライフハック,life,79.93,42.74,high,既存URLの主要意図・本文を手動確認し「死亡届」へ統合,/life/end-of-life/bereavement/,79.93
32,P0,相続・おくやみ,森町 死亡届,死亡届,/souzoku/guide-12/,KEEP,/life/end-of-life/bereavement/,/life/end-of-life/bereavement/,静岡県森町で家族が亡くなったら｜期限順にやることを整理する | 森町ライフハック,life,276.0,147.86,high,既存URLの主要意図・本文を手動確認し「死亡届」へ統合,/questions/end-of-life-bereavement/,128.14
33,P0,相続・おくやみ,森町 おくやみ 手続き,おくやみ 手続き,/souzoku/guide-13/,KEEP,/life/end-of-life/bereavement/,/life/end-of-life/bereavement/,静岡県森町で家族が亡くなったら｜期限順にやることを整理する | 森町ライフハック,life,276.0,0.0,high,既存URLの主要意図・本文を手動確認し「おくやみ」へ統合,/life/end-of-life/bereavement/,276.0
34,P0,相続・おくやみ,森町 世帯主 死亡,世帯主 死亡,/souzoku/guide-14/,MERGE,/life/end-of-life/bereavement/,/life/end-of-life/bereavement/,静岡県森町で家族が亡くなったら｜期限順にやることを整理する | 森町ライフハック,life,76.0,33.93,high,既存URLの主要意図・本文を手動確認し「死亡届」へ統合,/life/end-of-life/bereavement/,76.0
35,P0,相続・おくやみ,森町 死亡後 名義変更,死亡後 名義変更,/souzoku/guide-15/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,26.0,41.77,high,既存URLの主要意図・本文を手動確認し「」へ統合,/life/end-of-life/,71.87
36,P0,相続・おくやみ,森町 相続空き家 3000万円控除,相続空き家 3000万円控除,/souzoku/guide-16/,MERGE,/life/end-of-life/inherited-house/,/life/end-of-life/inherited-house/,静岡県森町の親の家をどうするか｜使う・貸す・売る・解体の決め方 | 森町ライフハック,life,107.9,41.66,high,既存URLの主要意図・本文を手動確認し「相続空き家」へ統合,/life/end-of-life/,66.24
37,P0,相続・おくやみ,森町 被相続人居住用家屋等確認書,被相続人居住用家屋等確認書,/souzoku/guide-17/,MERGE,/life/end-of-life/inherited-house/,/life/end-of-life/inherited-house/,静岡県森町の親の家をどうするか｜使う・貸す・売る・解体の決め方 | 森町ライフハック,life,44.33,0.0,high,既存URLの主要意図・本文を手動確認し「相続空き家」へ統合,/life/end-of-life/inheritance/,52.21
38,P0,相続・おくやみ,森町 相続 農地,相続 農地,/souzoku/guide-18/,MERGE,/life/troubles-consult/farmland/inheritance/,/life/troubles-consult/farmland/inheritance/,農地を相続したら、静岡県森町「農林政策課 農地管理係」（農業委員会）への届出から整理する。 | 森町ライフハック,life,68.5,0.0,high,既存URLの主要意図・本文を手動確認し「農地相続」へ統合,/life/end-of-life/inheritance/,122.67
39,P0,相続・おくやみ,森町 相続 山林,相続 山林,/souzoku/guide-19/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,122.67,0.0,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/inheritance/,122.67
40,P0,相続・おくやみ,森町 相続した土地 売却,相続した土地 売却,/souzoku/guide-20/,MERGE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,122.67,55.92,high,既存URLの主要意図・本文を手動確認し「土地売却」へ統合。不足: description(77字),/life/end-of-life/,66.75
41,P0,土地・農地・住宅,森町 農地 相続,農地 相続,/tochi/guide-01/,KEEP,/life/troubles-consult/farmland/inheritance/,/life/troubles-consult/farmland/inheritance/,農地を相続したら、静岡県森町「農林政策課 農地管理係」（農業委員会）への届出から整理する。 | 森町ライフハック,life,276.0,0.0,high,既存URLの主要意図・本文を手動確認し「農地相続」へ統合,/life/troubles-consult/farmland/inheritance/,276.0
42,P0,土地・農地・住宅,森町 農地 売却,農地 売却,/tochi/guide-02/,MERGE,/life/troubles-consult/farmland/sell-or-rent/,/life/troubles-consult/farmland/sell-or-rent/,使っていない農地を売りたい・貸したいときは、静岡県森町「農林政策課 農地管理係」（農業委員会）へ相談する。,life,89.75,32.92,high,既存URLの主要意図・本文を手動確認し「農地売買」へ統合,/life/housing/sell-house/,89.75
43,P0,土地・農地・住宅,森町 農地転用,農地転用,/tochi/guide-03/,KEEP,/life/troubles-consult/farmland/conversion/,/life/troubles-consult/farmland/conversion/,農地を宅地・駐車場にするとき（農地法4条・5条）は、静岡県森町「農林政策課 農地管理係」（農業委員会）へ事前相談する。,life,276.0,222.5,high,既存URLの主要意図・本文を手動確認し「農地転用」へ統合,/life/troubles-consult/farmland/,53.5
44,P0,土地・農地・住宅,森町 農地 貸す,農地 貸す,/tochi/guide-04/,MERGE,/life/troubles-consult/farmland/sell-or-rent/,/life/troubles-consult/farmland/sell-or-rent/,使っていない農地を売りたい・貸したいときは、静岡県森町「農林政策課 農地管理係」（農業委員会）へ相談する。,life,96.88,25.79,high,既存URLの主要意図・本文を手動確認し「使っていない農地を売る・貸す」へ統合,/life/troubles-consult/farmland/sell-or-rent/,96.88
45,P0,土地・農地・住宅,森町 農地 空き地,農地 空き地,/tochi/guide-05/,MERGE,/life/troubles-consult/farmland/sell-or-rent/,/life/troubles-consult/farmland/sell-or-rent/,使っていない農地を売りたい・貸したいときは、静岡県森町「農林政策課 農地管理係」（農業委員会）へ相談する。,life,72.94,36.99,high,既存URLの主要意図・本文を手動確認し「農地売買」へ統合,/life/troubles-consult/farmland/,72.94
46,P0,土地・農地・住宅,森町 田んぼ 相続,田んぼ 相続,/tochi/guide-06/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,79.93,41.07,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/,79.93
47,P0,土地・農地・住宅,森町 畑 相続,畑 相続,/tochi/guide-07/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,112.5,32.67,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/,112.5
48,P0,土地・農地・住宅,森町 土地 売却,土地 売却,/tochi/guide-08/,UPDATE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,276.0,204.07,high,既存URLの主要意図・本文を手動確認し「土地売却」へ統合。不足: description(77字),/questions/housing-sell-house/,71.93
49,P0,土地・農地・住宅,森町 土地 名義変更,土地 名義変更,/tochi/guide-09/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,-4.0,11.5,high,既存URLの主要意図・本文を手動確認し「」へ統合,/life/troubles-consult/farmland/conversion/,59.0
50,P0,土地・農地・住宅,森町 土地 境界,土地 境界,/tochi/guide-10/,MERGE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,76.0,17.5,high,既存URLの主要意図・本文を手動確認し「土地売却」へ統合。不足: description(77字),/life/housing/property-tax/,58.5
51,P0,土地・農地・住宅,森町 土地 固定資産税,土地 固定資産税,/tochi/guide-11/,MERGE,/life/housing/property-tax/,/life/housing/property-tax/,静岡県森町の土地・家屋の税金は、固定資産税・都市計画税の課税内容と手続きを分けて確認する | 森町ライフハック,life,147.9,8.0,high,既存URLの主要意図・本文を手動確認し「森町 固定資産税」へ統合。不足: description(73字),/questions/housing-property-tax/,139.9
52,P0,土地・農地・住宅,森町 山林 相続,山林 相続,/tochi/guide-12/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,92.67,0.0,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/end-of-life/inheritance/,92.67
53,P0,土地・農地・住宅,森町 山林 売却,山林 売却,/tochi/guide-13/,MERGE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,79.93,8.0,high,既存URLの主要意図・本文を手動確認し「森町 家 売却」へ統合。不足: description(77字),/questions/housing-sell-house/,71.93
54,P0,土地・農地・住宅,森町 住宅 解体,住宅 解体,/tochi/guide-14/,MERGE,/life/housing/earthquake-demolition/,/life/housing/earthquake-demolition/,静岡県森町の耐震・解体は、木造住宅の耐震診断・改修・解体助成を確認する。 | 森町ライフハック,life,122.67,0.0,high,既存URLの主要意図・本文を手動確認し「解体」へ統合。不足: description(89字),/life/housing/earthquake-demolition/,122.67
55,P0,土地・農地・住宅,森町 古家 売却,古家 売却,/tochi/guide-15/,MERGE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,151.89,8.0,high,既存URLの主要意図・本文を手動確認し「森町 家 売却」へ統合。不足: description(77字),/questions/housing-sell-house/,143.89
56,P0,土地・農地・住宅,森町 中古住宅 売却,中古住宅 売却,/tochi/guide-16/,MERGE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,72.94,5.56,high,既存URLの主要意図・本文を手動確認し「森町 家 売却」へ統合。不足: description(77字),/life/housing/sell-house/,72.94
57,P0,土地・農地・住宅,森町 家 査定,家 査定,/tochi/guide-17/,MERGE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,66.83,34.17,high,既存URLの主要意図・本文を手動確認し「森町 家 売却」へ統合。不足: description(77字),/life/housing/buy-house/,66.83
58,P0,土地・農地・住宅,森町 不動産 相続,不動産 相続,/tochi/guide-18/,MERGE,/life/end-of-life/inheritance/,/life/end-of-life/inheritance/,相続は、静岡県森町の固定資産税・戸籍手続きと家族で決めることを分けて進める | 森町ライフハック,life,79.93,53.25,high,既存URLの主要意図・本文を手動確認し「森町 相続 手続き」へ統合,/life/housing/sell-house/,81.5
59,P0,土地・農地・住宅,森町 空き地 管理,空き地 管理,/tochi/guide-19/,MERGE,/life/end-of-life/inherited-house/,/life/end-of-life/inherited-house/,静岡県森町の親の家をどうするか｜使う・貸す・売る・解体の決め方 | 森町ライフハック,life,23.5,0.61,high,既存URLの主要意図・本文を手動確認し「空き家」へ統合,/life/troubles-consult/farmland/conversion/,57.67
60,P0,土地・農地・住宅,森町 土地 地番 調べ方,土地 地番 調べ方,/tochi/guide-20/,MERGE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,61.0,11.2,high,既存URLの主要意図・本文を手動確認し「土地売却」へ統合。不足: description(77字),/life/housing/property-tax/,49.8
61,P0,介護・親,森町 介護保険 申請,介護保険 申請,/kaigo/guide-01/,MERGE,/life/parents-care/long-term-care-insurance/,/life/parents-care/long-term-care-insurance/,静岡県森町の介護保険｜申請・保険料・施設の相談先 | 森町ライフハック,life,142.5,64.0,high,既存URLの主要意図・本文を手動確認し「介護保険」へ統合。不足: description(60字),/life/parents-care/,78.5
62,P0,介護・親,森町 要介護認定,要介護認定,/kaigo/guide-02/,UPDATE,/life/parents-care/long-term-care-insurance/,/life/parents-care/long-term-care-insurance/,静岡県森町の介護保険｜申請・保険料・施設の相談先 | 森町ライフハック,life,276.0,138.83,high,既存URLの主要意図・本文を手動確認し「要介護認定」へ統合。不足: description(60字),/questions/parents-care-long-term-care-insurance/,137.17
63,P0,介護・親,森町 ケアマネジャー,ケアマネジャー,/kaigo/guide-03/,MERGE,/life/parents-care/care-started/,/life/parents-care/care-started/,親の介護が急に始まったら、静岡県森町ではまずケアプラン作成の依頼先を確認する | 森町ライフハック,life,53.5,8.0,high,既存URLの主要意図・本文を手動確認し「森町 ケアプラン ケアマネ」へ統合。不足: description(84字),/questions/parents-care-care-started/,45.5
64,P0,介護・親,森町 地域包括支援センター,地域包括支援センター,/kaigo/guide-04/,KEEP,/life/parents-care/community-support-center/,/life/parents-care/community-support-center/,介護の悩みは、静岡県森町直営の地域包括支援センターにまず相談する | 森町ライフハック,life,276.0,8.0,high,既存URLの主要意図・本文を手動確認し「森町 地域包括支援センター」へ統合,/questions/parents-care-community-support-center/,268.0
65,P0,介護・親,森町 親 認知症 相談,親 認知症 相談,/kaigo/guide-05/,MERGE,/life/parents-care/dementia-consultation/,/life/parents-care/dementia-consultation/,親が認知症かもしれないとき、静岡県森町の地域包括支援センター係への相談から始める | 森町ライフハック,life,168.5,8.0,high,既存URLの主要意図・本文を手動確認し「森町 認知症 相談」へ統合,/questions/parents-care-dementia-consultation/,160.5
66,P0,介護・親,森町 認知症 介護,認知症 介護,/kaigo/guide-06/,MERGE,/life/parents-care/dementia-consultation/,/life/parents-care/dementia-consultation/,親が認知症かもしれないとき、静岡県森町の地域包括支援センター係への相談から始める | 森町ライフハック,life,81.5,0.0,high,既存URLの主要意図・本文を手動確認し「森町 認知症 相談」へ統合,/life/parents-care/community-support-center/,109.93
67,P0,介護・親,森町 デイサービス,デイサービス,/kaigo/guide-07/,MERGE,/life/parents-care/long-term-care-insurance/,/life/parents-care/long-term-care-insurance/,静岡県森町の介護保険｜申請・保険料・施設の相談先 | 森町ライフハック,life,26.0,2.97,high,既存URLの主要意図・本文を手動確認し「」へ統合。不足: description(60字),/questions/parents-care-elderly-transportation/,35.6
68,P0,介護・親,森町 訪問介護,訪問介護,/kaigo/guide-08/,MERGE,/life/parents-care/long-term-care-insurance/,/life/parents-care/long-term-care-insurance/,静岡県森町の介護保険｜申請・保険料・施設の相談先 | 森町ライフハック,life,53.5,0.0,high,既存URLの主要意図・本文を手動確認し「介護保険」へ統合。不足: description(60字),/life/parents-care/community-support-center/,100.17
69,P0,介護・親,森町 ショートステイ,ショートステイ,/kaigo/guide-09/,MERGE,/life/parents-care/long-term-care-insurance/,/life/parents-care/long-term-care-insurance/,静岡県森町の介護保険｜申請・保険料・施設の相談先 | 森町ライフハック,life,26.0,2.7,high,既存URLの主要意図・本文を手動確認し「」へ統合。不足: description(60字),/life/parents-care/community-support-center/,32.47
70,P0,介護・親,森町 介護施設,介護施設,/kaigo/guide-10/,KEEP,/life/parents-care/find-nursing-home/,/life/parents-care/find-nursing-home/,静岡県森町の介護施設探しは、介護サービス情報公表システムで種類から選ぶ | 森町ライフハック,life,276.0,130.14,high,既存URLの主要意図・本文を手動確認し「介護施設」へ統合,/questions/parents-care-find-nursing-home/,145.86
71,P0,介護・親,森町 老人ホーム,老人ホーム,/kaigo/guide-11/,KEEP,/life/parents-care/find-nursing-home/,/life/parents-care/find-nursing-home/,静岡県森町の介護施設探しは、介護サービス情報公表システムで種類から選ぶ | 森町ライフハック,life,276.0,240.83,high,既存URLの主要意図・本文を手動確認し「老人ホーム」へ統合,/life/parents-care/check-parents/,35.17
72,P0,介護・親,森町 介護 保険料,介護 保険料,/kaigo/guide-12/,MERGE,/life/parents-care/long-term-care-insurance/,/life/parents-care/long-term-care-insurance/,静岡県森町の介護保険｜申請・保険料・施設の相談先 | 森町ライフハック,life,157.39,47.46,high,既存URLの主要意図・本文を手動確認し「介護保険」へ統合。不足: description(60字),/life/parents-care/,109.93
