id,url,title,category,hub,risk_level,review_status,content_owner,last_verified_at,municipality_page_checked_at,national_system_checked_at,phone_verified_at,next_review_at,review_overdue,source_count,source_urls,notes
mori-life-emergency-disaster-mail-line,/life/emergency/disaster-mail-line/,災害の知らせを取りこぼさないよう、森町LINE公式アカウント・ちゃっとメールで平常時から備える。,もしもの時,trouble,A,partial,大石浩之,2026-07-03,2026-08-05,,,2026-10-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/seisakukikakuka/promotionsenryakugakari/8/3750.html,森町公式（更新日2021-02-01）に「令和8年3月で終了」の記載。その時期は経過しているが、実際に終了したかはページから確認できないため partial。
mori-life-emergency-earthquake,/life/emergency/earthquake/,地震・津波の備えを、森町の補助制度を使いながら今日できることから一つずつ。,もしもの時,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kikikanrika/kikikanrikakari/4/6838.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/1/558.html,
mori-life-emergency-evacuation-centers,/life/emergency/evacuation-centers/,いざというとき、どこへ避難するかを森町のハザードマップと指定避難所で今のうちに決めておく。,もしもの時,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kikikanrika/kikikanrikakari/4/854.html,
mori-life-emergency-evacuation-hazard-map,/life/emergency/evacuation-hazard-map/,森町のハザードマップ｜洪水・土砂災害・避難所を確認,もしもの時,trouble,A,verified,大石浩之,2026-08-06,2026-08-06,,,2026-11-06,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/bosai_anzen/bosai/1130.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kikikanrika/kikikanrikakari/4/854.html,
mori-life-emergency-fire-ambulance,/life/emergency/fire-ambulance/,火事のとき、急病のとき。まず119番。森町は袋井消防本部が管轄。,もしもの時,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kikikanrika/kikikanrikakari/shoubou/3966.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kikikanrika/kikikanrikakari/shoubou/3963.html,
mori-life-emergency,/life/emergency/,⚠️ もしもの時,もしもの時,trouble,A,verified,大石浩之,2026-07-04,2026-07-04,,,2026-10-04,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/bosai_anzen/bosai/1129.html,
mori-life-emergency-pet-disaster-prevention,/life/emergency/pet-disaster-prevention/,ペットと一緒に逃げる。そのための備えを、災害が来る前に整える。,もしもの時,trouble,A,verified,大石浩之,2026-07-04,2026-07-04,,,2026-10-04,いいえ,4,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/seikatsukankyokakari/2/693.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/seikatsukankyokakari/2/4304.html / https://www.town.morimachi.shizuoka.jp/material/files/group/3/bousai_guidebook_R1_3.pdf,
mori-life-emergency-road-river-info,/life/emergency/road-river-info/,大雨・台風のとき、道路の通行止めと川の水位を静岡県のシステムで今すぐ確かめる。,もしもの時,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/bosai_anzen/bosai/1129.html,
mori-life-end-of-life-bereavement,/life/end-of-life/bereavement/,森町で家族が亡くなったら、期限の早い手続きから順に進める,人生の終わり,property,A,partial,大石浩之,2026-07-03,2026-07-03,2026-08-05,,2026-10-03,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/lifeevent/okuyami/1830.html / https://www.town.morimachi.shizuoka.jp/gyosei/kurashi_tetsuzuki/koseki_juminhyo_inkanshomei/index.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/juminkakari/2/2/2896.html,法務省の戸籍届書押印廃止（2021-09-01）を確認。森町公式の死亡届ページは更新日2020-02-25で「届出人の印鑑」の記載が残るため、差を本文に注記。押印は任意と記載した。
mori-life-end-of-life-grave-memorial,/life/end-of-life/grave-memorial/,お墓・供養は、改葬許可の手続きと墓地の確認先を分けて進める,人生の終わり,property,A,verified,大石浩之,2026-07-04,2026-07-04,,,2026-10-04,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/seikatsukankyokakari/2/4437.html / https://www.town.morimachi.shizuoka.jp/gyosei/lifeevent/okuyami/1830.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/juminkakari/2/2/2896.html,
mori-life-end-of-life,/life/end-of-life/,🕊️ 人生の終わり（森町版）,人生の終わり,property,A,verified,大石浩之,2026-08-06,2026-08-06,,,2026-11-06,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/lifeevent/okuyami/index.html / https://www.town.morimachi.shizuoka.jp/gyosei/lifeevent/okuyami/1830.html,
mori-life-end-of-life-inheritance,/life/end-of-life/inheritance/,相続は、森町の固定資産税・戸籍手続きと家族で決めることを分けて進める,人生の終わり,property,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/yousiki/544.html / https://www.town.morimachi.shizuoka.jp/gyosei/lifeevent/okuyami/1830.html,
mori-life-end-of-life-inherited-house,/life/end-of-life/inherited-house/,森町で相続した親の家を、使う・貸す・売る・解体するのどれにするか決める,人生の終わり,property,A,verified,大石浩之,2026-07-04,2026-07-04,,,2026-10-04,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/kurashi_tetsuzuki/ijuteiju/akiyabank/index.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/2/3043akiyakazaisyobun.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/kaoku/543.html,
mori-life-end-of-life-pension-inheritance,/life/end-of-life/pension-inheritance/,年金の手続きは、国民健康保険と国民年金の窓口を分けて確認する,人生の終わり,property,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/kenko_fukushi/kokuminkenkohoken_kokikoreishairyoseido/index.html / https://www.town.morimachi.shizuoka.jp/gyosei/lifeevent/okuyami/1830.html,
mori-life-end-of-life-property-tax-inheritance,/life/end-of-life/property-tax-inheritance/,固定資産税の相続は、森町税務課への相続人代表者指定届を先に確認する,人生の終わり,property,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/yousiki/544.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/koteitosikeizenpan/539.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/kaoku/543.html,
mori-life-family-grow-child-allowance,/life/family-grow/child-allowance/,森町の児童手当｜申請期限・支給額・必要書類,家族が増える,family,B,verified,大石浩之,2026-08-06,2026-08-06,,,2027-02-06,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/kosodate_kyoiku/teate_josei/jidoteateto/5316.html,
mori-life-family-grow-child-vaccination,/life/family-grow/child-vaccination/,子どもの予防接種は、母子健康手帳と予診票をそろえて医療機関で受ける。,家族が増える,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/morikko/sodachi/4813.html,
mori-life-family-grow-childbirth,/life/family-grow/childbirth/,赤ちゃんが生まれたら、出生届・児童手当・新生児出生通知をまとめて進める。,家族が増える,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/morikko/ninshin_shussan/morikko_20_1.html,
mori-life-family-grow-developmental-support,/life/family-grow/developmental-support/,子どもの発達が気になったら、子ども相談・親子療育教室・ことばの教室から選ぶ。,家族が増える,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/morikko/sodachi/4801.html,
mori-life-family-grow,/life/family-grow/,👶 家族が増える,家族が増える,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/,
mori-life-family-grow-infant-health-check,/life/family-grow/infant-health-check/,乳幼児健診の案内を見落とさず、1か月・4か月・10か月・1歳6か月・3歳児で確認する。,家族が増える,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/morikko/sodachi/4792.html / https://www.town.morimachi.shizuoka.jp/morikko/sodachi/4803.html,
mori-life-family-grow-marriage,/life/family-grow/marriage/,婚姻届を出す日と、結婚新生活支援補助金など結婚後の手続きを先に整理する。,家族が増える,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/izyusankouzyohou/4392.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/juminkakari/2/2/2893.html,
mori-life-family-grow-nursery-childcare,/life/family-grow/nursery-childcare/,保育園の入所申込みと病児・病後児保育を、必要なタイミングから確認する。,家族が増える,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/morikko/sodachi/4785.html / https://www.town.morimachi.shizuoka.jp/gyosei/kosodate_kyoiku/kosodateshien_sodammadoguchi/3111.html,
mori-life-family-grow-nursery-school,/life/family-grow/nursery-school/,森町の保育園・幼稚園｜空き状況・申込み・施設一覧,家族が増える,family,B,verified,大石浩之,2026-08-06,2026-08-06,,,2027-02-06,いいえ,1,https://www.town.morimachi.shizuoka.jp/morikko/sodachi/4785.html,
mori-life-family-grow-parenting-support,/life/family-grow/parenting-support/,子育てで迷ったら、こども家庭センターと児童館・子育て応援アプリを使い分ける。,家族が増える,family,B,needs_review,大石浩之,,,,,,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kodomokateikakari/1/837.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kodomokateikakari/1/1068.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kodomokateikakari/3/4881.html,
mori-life-family-grow-pregnancy,/life/family-grow/pregnancy/,妊娠がわかったら、まず妊娠届を出して母子健康手帳を受け取る。,家族が増える,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/morikko/ninshin_shussan/4811.html,
mori-life-family-grow-single-parent-support,/life/family-grow/single-parent-support/,ひとり親家庭の児童扶養手当・医療費助成を、最初に見る順番で整理する。,家族が増える,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kodomokateikakari/2/3034.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kodomokateikakari/2/3031.html,
mori-life-health-medical-adult-vaccination,/life/health-medical/adult-vaccination/,森町のおとなの予防接種は、対象年齢と接種時期・自己負担額を先に確認する,健康・医療,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/kenko_fukushi/kenkoukanri_kansennshou/5438.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kenkozukurikakari/1/6737.html,
mori-life-health-medical-cancer-specific-checkups,/life/health-medical/cancer-specific-checkups/,森町のがん検診と患者支援制度は、対象と時期を分けて確認する,健康・医療,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kenkozukurikakari/4/3238.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kenkozukurikakari/2/821.html,
mori-life-health-medical-dental-care,/life/health-medical/dental-care/,森町の歯科・口の健康は、歯周病検診と町内の歯科医院を分けて確認する,健康・医療,trouble,A,verified,大石浩之,2026-07-04,2026-07-04,,,2026-10-04,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/kenko_fukushi/otonanokenko_kenshin_sodan_kenkozukuri/2937.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kenkozukurikakari/3/834.html,
mori-life-health-medical-disability-welfare,/life/health-medical/disability-welfare/,森町の障がい者手帳・福祉は、手帳の種類と申請窓口を分けて確認する,健康・医療,trouble,A,verified,大石浩之,2026-07-04,2026-07-04,,,2026-10-04,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/hokenfukushika/shogaifukushikakari/1/665.html,
mori-life-health-medical-find-hospitals,/life/health-medical/find-hospitals/,森町で医療機関を探すときは、公立森町病院と町内診療所・広域の医療情報ネットを分けて確認する,健康・医療,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kenkozukurikakari/3/834.html / https://www.town.morimachi.shizuoka.jp/gyosei/kenko_fukushi/morimachi_hospital/5810.html,
mori-life-health-medical-health-checkups,/life/health-medical/health-checkups/,森町の健康診断とがん検診は、総合検診・特定健診の受診券と対象条件を先に確認する,健康・医療,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kenkozukurikakari/2/821.html / https://www.town.morimachi.shizuoka.jp/gyosei/kenko_fukushi/otonanokenko_kenshin_sodan_kenkozukuri/5713.html,
mori-life-health-medical-health-promotion,/life/health-medical/health-promotion/,森町の健康づくりは、生活習慣相談と健診・健康マイレージ事業を先に整理する,健康・医療,trouble,A,verified,大石浩之,2026-07-04,2026-07-04,,,2026-10-04,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/juminkakari/3/567.html / https://www.town.morimachi.shizuoka.jp/gyosei/kenko_fukushi/index.html,
mori-life-health-medical,/life/health-medical/,🏥 健康・医療（森町版トップ）,健康・医療,trouble,A,verified,大石浩之,2026-08-06,2026-08-06,,,2026-11-06,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/kenko_fukushi/index.html / https://www.town.morimachi.shizuoka.jp/gyosei/kenko_fukushi/morimachi_hospital/5810.html,
mori-life-health-medical-mental-health-consulting,/life/health-medical/mental-health-consulting/,森町のこころの相談は、町の健康相談と県の心の電話・精神科救急ダイヤルを分けて確認する,健康・医療,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/juminkakari/3/567.html,
mori-life-health-medical-night-holiday-medical,/life/health-medical/night-holiday-medical/,森町で夜間・休日に具合が悪くなったら、緊急度と時間帯で行き先を決める,健康・医療,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kenkozukurikakari/3/834.html / https://hospital.town.morimachi.shizuoka.jp/guide/outpatient/kyukyujushin/,
mori-life-health-medical-vaccinations,/life/health-medical/vaccinations/,森町の予防接種は、子どもとおとなで受け方と助成が分かれる,健康・医療,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/kenkozukurikakari/1/6737.html / https://www.town.morimachi.shizuoka.jp/gyosei/kenko_fukushi/kenkoukanri_kansennshou/5438.html,
mori-life-housing-build-house,/life/housing/build-house/,森町で家を建てる前に、耐震・補助金・結婚新生活支援を確認する。,家・住まい,property,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/1/558.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/izyusankouzyohou/4392.html,
mori-life-housing-buy-house,/life/housing/buy-house/,森町で家を買う前に、固定資産税・空き家バンク・結婚新生活支援を確認する。,家・住まい,property,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/koteitosikeizenpan/539.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/2/379.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/izyusankouzyohou/4392.html,
mori-life-housing-clean-parents-house,/life/housing/clean-parents-house/,森町で親の家を片付けるときは、ごみ分別・空き家対策・空き家バンクを確認する。,家・住まい,property,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/seikatsukankyokakari/1/1/692.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/2/2222.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/2/379.html,
mori-life-housing-earthquake-demolition,/life/housing/earthquake-demolition/,森町の耐震・解体は、木造住宅の耐震診断・改修・解体助成を確認する。,家・住まい,property,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/1/558.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/1/4685.html,
mori-life-housing,/life/housing/,🏠 家・住まい（森町版）,家・住まい,property,B,verified,大石浩之,2026-08-09,2026-08-09,,,2027-02-09,いいえ,1,https://www.town.morimachi.shizuoka.jp/,
mori-life-housing-municipal-housing,/life/housing/municipal-housing/,森町の町営住宅は、募集条件・収入・必要書類を先に確認する。,家・住まい,property,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/4/412.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/4/412.html,
mori-life-housing-property-tax,/life/housing/property-tax/,森町の土地・家屋の税金は、固定資産税・都市計画税の課税内容と手続きを分けて確認する,家・住まい,property,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/koteitosikeizenpan/539.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/index.html,
mori-life-housing-public-housing-consultation,/life/housing/public-housing-consultation/,森町で住まいに困ったら、状況と緊急度を先に分ける,家・住まい,property,B,verified,大石浩之,2026-07-04,2026-07-04,,,2027-01-04,いいえ,6,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/juminkakari/3/567.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/4/412.html / https://www.town.morimachi.shizuoka.jp/gyosei/kurashi_tetsuzuki/ijuteiju/akiyabank/index.html,
mori-life-housing-rent-house,/life/housing/rent-house/,森町で賃貸を探すなら、空き家バンクと町営住宅の両方を確認する,家・住まい,property,B,verified,大石浩之,2026-07-04,2026-07-04,,,2027-01-04,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/2/380.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/4/412.html,
mori-life-housing-sell-house,/life/housing/sell-house/,森町で家を売る前に、固定資産税・空き家バンクを確認する,家・住まい,property,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/koteitosikeizenpan/539.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/2/379.html,
mori-life-housing-vacant-house,/life/housing/vacant-house/,森町の空き家バンク｜物件・補助金・相談先を確認,家・住まい,property,B,verified,大石浩之,2026-08-06,2026-08-06,,,2027-02-06,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/sumaishiengakari/2/2222.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/2/379.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/shisanzeigakari/1/koteitosikeizenpan/539.html,
mori-life-living-soon-about-morimachi,/life/living-soon/about-morimachi/,森町への移住｜補助金・仕事・住まい・子育て,これから暮らす,procedures,C,verified,大石浩之,2026-08-06,2026-08-06,,,2027-08-06,いいえ,2,https://www.town.morimachi.shizuoka.jp/ijyu/index.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/teijusuishinka/ijukoryugakari/2/1/index.html,
mori-life-living-soon-disaster-risk,/life/living-soon/disaster-risk/,引っ越す前に、候補地が洪水・土砂災害に強い場所か確かめる。,これから暮らす,trouble,C,verified,大石浩之,2026-07-03,2026-07-03,,,2027-07-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/bosai_anzen/bosai/hazardmap/1255.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/norinseisakuka/nochikanrikakari/4528.html,
mori-life-living-soon,/life/living-soon/,🏡 これから暮らす,これから暮らす,procedures,C,verified,大石浩之,2026-08-06,2026-08-06,,,2027-08-06,いいえ,1,https://www.town.morimachi.shizuoka.jp/ijyu/index.html,
mori-life-living-soon-moving-decided,/life/living-soon/moving-decided/,引っ越しが決まったら、何をいつまでにやるかを順番に整理する。,これから暮らす,procedures,C,verified,大石浩之,2026-07-03,2026-07-03,,,2027-07-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/kurashi_tetsuzuki/koseki_juminhyo_inkanshomei/2940.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/juminkakari/2/index.html,
mori-life-living-soon-want-to-live,/life/living-soon/want-to-live/,自然に囲まれた広い家で、子どもをのびのび育てられる暮らしを森町で考える。,これから暮らす,procedures,C,verified,大石浩之,2026-07-03,2026-07-03,,,2027-07-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/sangyo_shigoto/shushokushien/2709.html / https://www.town.morimachi.shizuoka.jp/ijyu/index.html,
